#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:35:00       0     83     54     55      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:00       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:00       2     59     46     49      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:00       3     59     52     54      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:01       0     60     53     54      0      0      0      0      0      0   1215    300      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:01       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:35:01       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0     16 
 20260909    10:35:01       3     59     52     53      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      9      0 
 20260909    10:35:02       0     61     52     54      0      0      0      0      0      0   1215    690      0      0      4      4      0      0      0      0      0      0 
 20260909    10:35:02       1     58     43     43      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:35:02       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:02       3     59     51     53      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:04       0     59     51     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:35:04       1     58     42     43      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:04       2     58     44     47      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:35:04       3     58     51     52      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:35:05       0     59     51     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:35:05       1     58     42     43      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      9     17 
 20260909    10:35:05       2     58     44     47      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      7 
 20260909    10:35:05       3     58     51     52      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
