#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:36:05       0     75     41     42      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:36:05       1     55     33     34      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:36:05       2     55     35     38      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:36:05       3     54     38     39      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:36:06       0     56     40     42      0      0      0      0      0      0   1215    285      0      0      0      1      0      0      0      0      0      0 
 20260909    10:36:06       1     55     33     34      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:36:06       2     55     34     37      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:36:06       3     54     37     39      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0     13 
 20260909    10:36:07       0     55     40     42      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:36:07       1     55     33     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     16      1 
 20260909    10:36:07       2     56     34     37      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:36:07       3     54     37     39      0      0      0      0      0      0   1215    210      0      0      2      2      0      0      0      0     19     34 
 20260909    10:36:09       0     55     39     41      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:36:09       1     55     33     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:36:09       2     55     34     37      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:36:09       3     54     37     39      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
