#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:38:03       0     80     50     50      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:38:03       1     80     44     43      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:38:03       2     54     31     33      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:38:03       3     52     32     33      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:38:04       0     79     49     49      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:38:04       1     58     43     42      0      0      0      0      0      0   1215    240      0      0      0      1      0      0      0      0      0      0 
 20260909    10:38:04       2     54     31     34      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:38:04       3     52     32     33      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:38:05       0     59     48     49      0      0      0      0      0      0   1215    750      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:05       1     58     42     41      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:05       2     55     31     33      0      0      0      0      0      0   1215    675      0      0      4      4      0      0      0      0      0      1 
 20260909    10:38:05       3     52     32     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     15     30 
 20260909    10:38:07       0     57     47     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:07       1     57     41     41      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:07       2     55     31     33      0      0      0      0      0      0   1215    675      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:07       3     52     32     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:08       0     57     46     47      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:08       1     57     41     40      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:08       2     54     31     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:38:08       3     52     32     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
