#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:37:03       0     73     36     37      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:37:03       1     74     33     32     39      1      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:37:03       2     77     34     36     82      3      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:37:03       3     73     36     36      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:37:04       0     54     35     37      0      0      0      0      0      0   1215    300      0      0      0      1      0      0      0      0      0      0 
 20260909    10:37:04       1     74     33     32      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:37:04       2     77     34     36      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:37:04       3     73     36     36      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0     15 
 20260909    10:37:06       0     55     35     37      0      0      0      0      0      0   1215    735      0      0      4      4      0      0      0      0     14      3 
 20260909    10:37:06       1     54     32     32      0      0      0      0      0      0   1215    255      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:06       2     55     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:06       3     53     35     36      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     16     32 
 20260909    10:37:07       0     54     35     37      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:07       1     54     32     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:07       2     54     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:07       3     54     35     36      0      0      0      0      0      0   1215    705      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:08       0     54     35     37      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:08       1     54     32     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:08       2     54     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:08       3     53     35     36      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:09       0     54     35     36      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:09       1     54     32     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:09       2     54     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:09       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:11       0     54     35     36      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:11       1     54     32     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:11       2     54     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:11       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:12       0     54     35     36      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:12       1     54     32     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:12       2     54     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:12       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:13       0     54     34     36      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:13       1     54     32     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:13       2     54     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:13       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:14       0     58     35     36      7      0      0      0      0      0   1215   1095      0      0   1140   1141      0      0      0      0      1      0 
 20260909    10:37:14       1     60     32     32      7      0      0      0      0      0   1215   1095      0      0   1140   1141      0      0      0      0      0      0 
 20260909    10:37:14       2     54     32     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:14       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:16       0     58     35     36      0      0      0      0      0      0   1215   1095      0      0   1140   1141      0      0      0      0      0      0 
 20260909    10:37:16       1     60     32     32      0      0      0      0      0      0   1215   1095      0      0   1140   1141      0      0      0      0      0      0 
 20260909    10:37:16       2     54     32     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:16       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:37:17       0     62     35     36      8      6      0      0      0      0   1215   1095      0      0  17190  17191      0      0      0      0      0      0 
 20260909    10:37:17       1     73     32     32     91      3      0      0      0      0   1215   1410      0      0  17274  17275      0      0      0      0      3      7 
 20260909    10:37:17       2     55     32     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:17       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      3 
 20260909    10:37:18       0     58     35     38      0      0      0      0      0      0   1215   1095      0      0  18974  18975      0      0      0      0      8      3 
 20260909    10:37:18       1    195     35     33      3      3      0      0      0      0   1215   1410      0      0  20508  20509      0      0      0      0      5      2 
 20260909    10:37:18       2     54     32     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:18       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:19       0    383     45     42     77     26      0      0      0      0   1215   1395      0      0  20866  20867      0      0      0      0     23      6 
 20260909    10:37:19       1    383     46     39     99     30      0      0      0      0   1215   1380      0      0  20992  20993      0      0      0      0     18      6 
 20260909    10:37:19       2     54     32     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:19       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:20       0    410     50     46     99     42      0      0      0      0   1215   1395      0      0  20992  20993      0      0      0      0     19      6 
 20260909    10:37:20       1    406     50     43     99     41      0      0      0      0   1215   1380      0      0  20992  20993      0      0      0      0     17      6 
 20260909    10:37:20       2     54     32     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:20       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:22       0    414     51     47     99     41      0      0      0      0   1215   1380      0      0  20992  20993      0      0      0      0     21      7 
 20260909    10:37:22       1    397     51     45     99     41      0      0      0      0   1215   1380      0      0  20992  20993      0      0      0      0     19      6 
 20260909    10:37:22       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:22       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:23       0    388     52     48     99     42      0      0      0      0   1215   1395      0      0  20992  20993      0      0      0      0     19      6 
 20260909    10:37:23       1    384     52     46     99     42      0      0      0      0   1215   1380      0      0  20992  20993      0      0      0      0     20      7 
 20260909    10:37:23       2     54     32     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:23       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:24       0    410     53     50     99     41      0      0      0      0   1215   1365      0      0  20992  20993      0      0      0      0     17      7 
 20260909    10:37:24       1    417     53     47     99     41      0      0      0      0   1215   1380      0      0  20992  20993      0      0      0      0     17      5 
 20260909    10:37:24       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:24       3     53     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:25       0    375     54     49     99     41      0      0      0      0   1215   1395      0      0  20992  20993      0      0      0      0     18      6 
 20260909    10:37:25       1    380     54     47     99     41      0      0      0      0   1215   1365      0      0  20992  20993      0      0      0      0     18      6 
 20260909    10:37:25       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:25       3     52     34     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:27       0     80     43     43      1      0      0      0      0      0   1215   1410      0      0  21868  21869      0      0      0      0      9      2 
 20260909    10:37:27       1     80     41     40      0      0      0      0      0      0   1215   1410      0      0  21868  21869      0      0      0      0      9      9 
 20260909    10:37:27       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      0 
 20260909    10:37:27       3     52     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      2      0 
 20260909    10:37:28       0    400     54     50     99     42      0      0      0      0   1215   1395      0      0  34110  34111      0      0      0      0     17      6 
 20260909    10:37:28       1    413     54     47     99     40      0      0      0      0   1215   1380      0      0  34174  34175      0      0      0      0     17      5 
 20260909    10:37:28       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:28       3     52     33     35      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:29       0    396     55     52     99     40      0      0      0      0   1215   1350      0      0  34110  34111      0      0      0      0     18      7 
 20260909    10:37:29       1    380     55     49     99     41      0      0      0      0   1215   1380      0      0  34174  34175      0      0      0      0     16      7 
 20260909    10:37:29       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:29       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:37:30       0    404     56     52     99     41      0      0      0      0   1215   1380      0      0  34110  34111      0      0      0      0     15      7 
 20260909    10:37:30       1    409     56     50     99     40      0      0      0      0   1215   1380      0      0  34174  34175      0      0      0      0     17      5 
 20260909    10:37:30       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:30       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:31       0    402     57     54     99     40      0      0      0      0   1215   1365      0      0  34110  34111      0      0      0      0     18      5 
 20260909    10:37:31       1    386     56     50     99     41      0      0      0      0   1215   1380      0      0  34174  34175      0      0      0      0     16      6 
 20260909    10:37:31       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:31       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:33       0    399     57     53     99     41      0      0      0      0   1215   1380      0      0  34110  34111      0      0      0      0     18      6 
 20260909    10:37:33       1    387     57     51     99     40      0      0      0      0   1215   1365      0      0  34174  34175      0      0      0      0     18      7 
 20260909    10:37:33       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:33       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:34       0    406     58     54     99     40      0      0      0      0   1215   1380      0      0  34110  34111      0      0      0      0     22      7 
 20260909    10:37:34       1    409     57     51     99     40      0      0      0      0   1215   1380      0      0  34174  34175      0      0      0      0     18      5 
 20260909    10:37:34       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:34       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:35       0    386     58     54     99     40      0      0      0      0   1215   1380      0      0  34110  34111      0      0      0      0     18      6 
 20260909    10:37:35       1    408     58     51     99     40      0      0      0      0   1215   1365      0      0  34174  34175      0      0      0      0     16      6 
 20260909    10:37:35       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:35       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:36       0    411     59     55     99     42      0      0      0      0   1215   1365      0      0  34110  34111      0      0      0      0     20      6 
 20260909    10:37:36       1    403     58     52     99     42      0      0      0      0   1215   1380      0      0  34174  34175      0      0      0      0     18      5 
 20260909    10:37:36       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:36       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:37       0    409     59     55     99     40      0      0      0      0   1215   1380      0      0  34110  34111      0      0      0      0     18      5 
 20260909    10:37:37       1    402     58     53     99     40      0      0      0      0   1215   1365      0      0  34174  34175      0      0      0      0     17      6 
 20260909    10:37:37       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:37       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:39       0    381     60     57     99     42      0      0      0      0   1215   1365      0      0  34110  34111      0      0      0      0     17      6 
 20260909    10:37:39       1    389     59     52     99     42      0      0      0      0   1215   1380      0      0  34174  34175      0      0      0      0     16      6 
 20260909    10:37:39       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:39       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:40       0    413     60     56     99     40      0      0      0      0   1215   1380      0      0  34110  34111      0      0      0      0     24      7 
 20260909    10:37:40       1    401     59     54     99     40      0      0      0      0   1215   1365      0      0  34174  34175      0      0      0      0     20      6 
 20260909    10:37:40       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      9 
 20260909    10:37:40       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:41       0    375     61     57     99     42      0      0      0      0   1215   1365      0      0  34110  34111      0      0      0      0     18      5 
 20260909    10:37:41       1    417     60     54     99     42      0      0      0      0   1215   1365      0      0  34174  34175      0      0      0      0     16      7 
 20260909    10:37:41       2     54     32     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:37:41       3     52     33     34      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:37:42       0    407     61     58     99     42      0      0      0      0   1215   1380      0      0  34110  34111      0      0      0      0     20      7 
 20260909    10:37:42       1    411     60     54     97     62      0      0      0      0   1215   1365      0      0  34174  34175      0      0      0      0     17      6 
