#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:48:08       0     85     56     57      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:48:08       1     81     47     47      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:48:08       2     83     49     51      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:48:08       3     85     56     56      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:48:09       0     61     55     57      0      0      0      0      0      0   1215    285      0      0      0      1      0      0      0      0      0      0 
 20260909    10:48:09       1     59     45     46      0      0      0      0      0      0   1215    240      0      0      0      1      0      0      0      0      0      0 
 20260909    10:48:09       2     83     48     50      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:48:09       3     60     55     56      0      0      0      0      0      0   1215    270      0      0      0      1      0      0      0      0      0      0 
 20260909    10:48:10       0     60     54     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:48:10       1     60     45     45      0      0      0      0      0      0   1215    720      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:10       2     59     46     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:10       3     59     53     55      0      0      0      0      0      0   1215    210      0      0      1      1      0      0      0      0      8     40 
 20260909    10:48:12       0     60     53     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:12       1     59     44     45      0      0      0      0      0      0   1215    720      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:12       2     58     46     49      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:48:12       3     60     53     54      0      0      0      0      0      0   1215    720      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:13       0     60     53     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:13       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:13       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:13       3     59     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:48:14       0     59     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:14       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:48:14       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
