#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:51:22       0     86     58     59    100      3      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:51:22       1     82     49     48      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:51:22       2     53     30     32      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:51:22       3     52     31     32      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:51:24       0     86     57     59      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:51:24       1     60     47     48      0      0      0      0      0      0   1215    270      0      0      0      1      0      0      0      0      0      0 
 20260909    10:51:24       2     53     30     32      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0     14 
 20260909    10:51:24       3     52     31     31      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0     11      0 
 20260909    10:51:25       0     63     56     58      0      0      0      0      0      0   1215    750      0      0      4      4      0      0      0      0     13      1 
 20260909    10:51:25       1     60     46     47      0      0      0      0      0      0   1215    675      0      0      4      4      0      0      0      0      0      0 
 20260909    10:51:25       2     54     30     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:51:25       3     52     31     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     17     31 
 20260909    10:51:26       0     61     55     57      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:51:26       1     59     46     46      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:51:26       2     53     30     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:51:26       3     53     31     32      0      0      0      0      0      0   1215    705      0      0      4      4      0      0      0      0      0      0 
