#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:53:16       0     86     57     58      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:53:16       1     83     48     47      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:53:16       2     84     49     51      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:53:16       3     84     55     55      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:53:18       0     85     57     58      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:53:18       1     82     47     47      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:53:18       2     59     47     50      0      0      0      0      0      0   1215    315      0      0      0      1      0      0      0      0      0      1 
 20260909    10:53:18       3     84     54     54      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:53:19       0     62     55     57      0      0      0      0      0      0   1215    750      0      0      4      4      0      0      0      0     14      1 
 20260909    10:53:19       1     60     46     46      0      0      0      0      0      0   1215    720      0      0      4      4      0      0      0      0      0      1 
 20260909    10:53:19       2     59     46     49      0      0      0      0      0      0   1215    705      0      0      4      4      0      0      0      0      0      1 
 20260909    10:53:19       3     59     53     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     16     32 
 20260909    10:53:20       0     60     54     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:53:20       1     59     45     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:20       2     60     46     48      0      0      0      0      0      0   1215    705      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:20       3     59     52     53      0      0      0      0      0      0   1215    660      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:21       0     60     54     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:21       1     58     44     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:21       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:21       3     58     51     52      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:23       0     60     53     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:23       1     58     44     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:23       2     58     45     47      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:23       3     58     51     51      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:24       0     59     53     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:24       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:24       2     58     44     47      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:24       3     58     50     51      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:53:25       0     59     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:25       1     58     43     43      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:25       2     58     44     47      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:25       3     57     50     51      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:26       0     59     52     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:26       1     57     42     43      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:26       2     57     43     46      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:53:26       3     57     49     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:53:27       0     65     51     53      0      0      0      0      0      0   1215   1095      0      0    546    547      0      0      0      0      0      3 
 20260909    10:53:27       1     64     42     42      7      0      0      0      0      0   1215   1095      0      0    546    547      0      0      0      0      0      4 
 20260909    10:53:27       2     63     43     46      6      0      0      0      0      0   1215   1095      0      0    546    547      0      0      0      0      0      0 
 20260909    10:53:27       3     63     49     50     11      0      0      0      0      0   1215   1095      0      0    586    589      0      0      0      0      1      0 
 20260909    10:53:29       0     64     51     53      7      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
 20260909    10:53:29       1     63     42     42      7      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
 20260909    10:53:29       2     63     43     45      0      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
 20260909    10:53:29       3     63     49     49      7      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:53:30       0     64     50     52      0      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
 20260909    10:53:30       1     63     41     42      0      0      0      0      0      0   1215   1095      0      0   1188   1189      0      0      0      0      0      0 
