#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:59:32       0     86     57     58      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:59:32       1     82     47     47      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:59:32       2     84     50     52      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:59:32       3     87     58     58      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:59:33       0     61     55     57      0      0      0      0      0      0   1215    255      0      0      0      1      0      0      0      0      0      0 
 20260909    10:59:33       1     59     46     46      0      0      0      0      0      0   1215    240      0      0      0      1      0      0      0      0      0      1 
 20260909    10:59:33       2     60     49     51      0      0      0      0      0      0   1215    225      0      0      0      1      0      0      0      0      0      0 
 20260909    10:59:33       3     60     56     57      0      0      0      0      0      0   1215    225      0      0      0      1      0      0      0      0      0      1 
 20260909    10:59:35       0     61     55     57      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     14      1 
 20260909    10:59:35       1     62     45     46      0      0      0      0      0      0   1215    735      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:35       2     62     48     51      0      0      0      0      0      0   1215    705      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:35       3     60     55     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     16     33 
 20260909    10:59:36       0     60     54     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:36       1     58     45     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:36       2     61     47     50      0      0      0      0      0      0   1215    705      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:36       3     62     55     56      0      0      0      0      0      0   1215    780      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:37       0     60     53     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:37       1     58     44     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:37       2     59     47     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:37       3     60     54     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:38       0     60     53     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:38       1     58     44     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:38       2     59     46     49      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:38       3     59     54     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:40       0     60     53     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:40       1     58     43     43      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:40       2     59     46     49      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:40       3     59     53     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:41       0     60     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:41       1     58     43     43      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:41       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:41       3     59     53     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:42       0     66     52     54      0      0      0      0      0      0   1215   1095      0      0    500    501      0      0      0      0      1      0 
 20260909    10:59:42       1     57     42     42      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:59:42       2     59     45     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:59:42       3     59     52     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      3 
 20260909    10:59:43       0     65     51     53      0      0      0      0      0      0   1215   1095      0      0   1050   1051      0      0      0      0      4      0 
 20260909    10:59:43       1     64     42     42      6      0      0      0      0      0   1215   1095      0      0   1050   1051      0      0      0      0      5      6 
 20260909    10:59:43       2     65     45     47      0      0      0      0      0      0   1215   1095      0      0   1050   1051      0      0      0      0      4      6 
 20260909    10:59:43       3     65     52     53      7      0      0      0      0      0   1215   1095      0      0   1050   1051      0      0      0      0      4      7 
 20260909    10:59:44       0     64     51     53      0      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
 20260909    10:59:44       1     63     42     42      0      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
 20260909    10:59:44       2     64     45     47      0      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
 20260909    10:59:44       3     64     51     52      0      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:59:46       0     64     51     52     71      0      0      0      0      0   1215   1095      0      0   1304   1305      0      0      0      0    881     36 
 20260909    10:59:46       1     73     42     42     20      0      0      0      0      0   1215   1095      0      0   5438   5439      0      0      0      0     12      1 
 20260909    10:59:46       2     64     44     47      0      0      0      0      0      0   1215   1095      0      0   8588   8589      0      0      0      0      0      0 
 20260909    10:59:46       3     96     52     52      7      0      0      0      0      0   1215   1410      0      0   9714   9715      0      0      0      0      0      0 
 20260909    10:59:47       0     83     51     52      7      2      0      0      0      0   1215   1410      0      0  11456  11457      0      0      0      0      8      2 
 20260909    10:59:47       1     81     42     42      1      0      0      0      0      0   1215   1410      0      0   9016   9017      0      0      0      0    169      0 
 20260909    10:59:47       2     81     45     47      0      0      0      0      0      0   1215   1410      0      0   8976   8977      0      0      0      0      0      0 
 20260909    10:59:47       3     82     52     52      1      0      0      0      0      0   1215   1410      0      0  10102  10103      0      0      0      0      0      0 
 20260909    10:59:48       0     64     50     52      0      0      0      0      0      0   1215   1095      0      0  15436  15437      0      0      0      0      1      0 
 20260909    10:59:48       1     63     42     42      0      0      0      0      0      0   1215   1095      0      0  12948  12949      0      0      0      0      0      0 
 20260909    10:59:48       2     71     44     47     10      3      0      0      0      0   1215   1095      0      0  11688  11689      0      0      0      0      0      0 
 20260909    10:59:48       3     64     51     51      0      0      0      0      0      0   1215   1095      0      0  10538  10539      0      0      0      0      0      0 
 20260909    10:59:49       0     64     50     52      0      0      0      0      0      0   1215   1095      0      0  15436  15437      0      0      0      0      0      0 
 20260909    10:59:49       1     63     41     41      0      0      0      0      0      0   1215   1095      0      0  12948  12949      0      0      0      0      1      9 
