#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:42:31       0     86     58     59      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:42:31       1     82     49     48      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:42:31       2     53     30     32      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:42:31       3     51     30     31      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:42:32       0     61     56     58      0      0      0      0      0      0   1215    255      0      0      0      1      0      0      0      0      0      0 
 20260909    10:42:32       1     60     47     47      0      0      0      0      0      0   1215    270      0      0      0      1      0      0      0      0      0      0 
 20260909    10:42:32       2     53     30     32      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:42:32       3     51     30     31      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      4 
 20260909    10:42:34       0     61     56     58      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0     33 
 20260909    10:42:34       1     60     46     47      0      0      0      0      0      0   1215    720      0      0      4      4      0      0      0      0      1      0 
 20260909    10:42:34       2     55     30     32      0      0      0      0      0      0   1215    675      0      0      4      4      0      0      0      0      0      0 
 20260909    10:42:34       3     51     30     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     13     33 
 20260909    10:42:35       0     61     55     57      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:42:35       1     60     46     46      0      0      0      0      0      0   1215    720      0      0      4      4      0      0      0      0      0      0 
 20260909    10:42:35       2     54     30     32      0      0      0      0      0      0   1215    675      0      0      4      4      0      0      0      0      0      0 
 20260909    10:42:35       3     53     30     31      0      0      0      0      0      0   1215    735      0      0      4      4      0      0      0      0      0      1 
 20260909    10:42:36       0     60     54     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:42:36       1     58     45     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
