#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:44:33       0     62     57     59      0      0      0      0      0      0   1215    375      0      0      0      1      0      0      0      0      2      1 
 20260909    10:44:33       1     81     48     48      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:44:33       2     83     49     50      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:44:33       3     84     55     54      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:44:35       0     61     56     58      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:44:35       1     59     46     47      0      0      0      0      0      0   1215    240      0      0      0      1      0      0      0      0      0      0 
 20260909    10:44:35       2     59     47     50      0      0      0      0      0      0   1215    330      0      0      0      1      0      0      0      0      0     16 
 20260909    10:44:35       3     58     53     54      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0     11      0 
 20260909    10:44:36       0     63     55     57      0      0      0      0      0      0   1215    750      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:36       1     60     46     46      0      0      0      0      0      0   1215    675      0      0      4      4      0      0      0      0      1      1 
 20260909    10:44:36       2     59     46     49      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:44:36       3     59     52     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     15     35 
 20260909    10:44:37       0     60     55     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:44:37       1     59     45     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      1 
 20260909    10:44:37       2     58     46     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      1 
 20260909    10:44:37       3     58     52     52      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:38       0     60     54     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:38       1     58     44     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:38       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:38       3     58     51     52      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:40       0     60     54     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:40       1     58     44     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:40       2     58     45     47      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:40       3     58     51     51      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:41       0     60     53     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      0 
 20260909    10:44:41       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      1 
 20260909    10:44:41       2     58     44     47      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      1 
 20260909    10:44:41       3     57     50     51      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:42       0     59     53     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:42       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:42       2     58     44     46      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:42       3     57     50     51      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      1 
 20260909    10:44:43       0     59     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:43       1     58     43     43      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:43       2     58     43     46      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      1 
 20260909    10:44:43       3     57     49     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:44:44       0     64     52     53      8      0      0      0      0      0   1215   1095      0      0    554    555      0      0      0      0      4      1 
 20260909    10:44:44       1     64     42     43      8      0      0      0      0      0   1215   1095      0      0    656    659      0      0      0      0      4      5 
 20260909    10:44:44       2     64     43     46      7      0      0      0      0      0   1215   1095      0      0    798    799      0      0      0      0      2      1 
 20260909    10:44:44       3     63     49     50      7      0      0      0      0      0   1215   1095      0      0   1038   1039      0      0      0      0      4      7 
 20260909    10:44:46       0     64     51     53      0      0      0      0      0      0   1215   1095      0      0   1140   1141      0      0      0      0      0      1 
 20260909    10:44:46       1     63     42     42      0      0      0      0      0      0   1215   1095      0      0   1140   1141      0      0      0      0      0      0 
 20260909    10:44:46       2     63     43     45      0      0      0      0      0      0   1215   1095      0      0   1140   1141      0      0      0      0      0      0 
 20260909    10:44:46       3     62     49     49      0      0      0      0      0      0   1215   1095      0      0   1140   1141      0      0      0      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:44:47       0     64     51     53      0      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      0      1 
 20260909    10:44:47       1     63     42     42      0      0      0      0      0      0   1215   1095      0      0   1116   1117      0      0      0      0      0      0 
 20260909    10:44:47       2     63     43     45      0      0      0      0      0      0   1215   1095      0      0   1164   1165      0      0      0      0      1      0 
 20260909    10:44:47       3     62     48     49      0      0      0      0      0      0   1215   1095      0      0   1176   1177      0      0      0      0      1      1 
 20260909    10:44:48       0     64     51     52      0      0      0      0      0      0   1215   1095      0      0  17274  17275      0      0      0      0      7      3 
 20260909    10:44:48       1     80     42     42      0      0      0      0      0      0   1215   1410      0      0  17274  17275      0      0      0      0     13      5 
 20260909    10:44:48       2     63     42     44      0      0      0      0      0      0   1215   1095      0      0  17274  17275      0      0      0      0      7      9 
 20260909    10:44:48       3     80     49     49      0      0      0      0      0      0   1215   1410      0      0  17274  17275      0      0      0      0      4      5 
 20260909    10:44:49       0     76     51     52     20      5      0      0      0      0   1215   1095      0      0  20516  20517      0      0      0      0      0      0 
 20260909    10:44:49       1     87     43     42     30      3      0      0      0      0   1215   1410      0      0  20516  20517      0      0      0      0      1      3 
 20260909    10:44:49       2     78     42     45     24      6      0      0      0      0   1215   1095      0      0  20636  20637      0      0      0      0     16      6 
 20260909    10:44:49       3    120     53     50     14      1      0      0      0      0   1215   1410      0      0  20636  20637      0      0      0      0     14      5 
 20260909    10:44:51       0    385     64     60     99     40      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     19      7 
 20260909    10:44:51       1    378     58     52     99     40      0      0      0      0   1215   1380      0      0  20976  20977      0      0      0      0     18      7 
 20260909    10:44:51       2    373     57     54     99     40      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     19      7 
 20260909    10:44:51       3    407     65     58     99     42      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     16      7 
 20260909    10:44:52       0    406     65     62     99     41      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     22      7 
 20260909    10:44:52       1    411     59     53     99     42      0      0      0      0   1215   1380      0      0  20976  20977      0      0      0      0     18      6 
 20260909    10:44:52       2    409     59     56     99     41      0      0      0      0   1215   1380      0      0  20976  20977      0      0      0      0     17      9 
 20260909    10:44:52       3    380     66     58     99     40      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     17      6 
 20260909    10:44:53       0    385     66     62     99     40      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     19      6 
 20260909    10:44:53       1    382     60     54     99     40      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     18      7 
 20260909    10:44:53       2    380     59     57     99     40      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     18      7 
 20260909    10:44:53       3    404     67     59     99     40      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     17      6 
 20260909    10:44:54       0    407     66     64     99     41      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     19      7 
 20260909    10:44:54       1    413     61     55     99     41      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     18      6 
 20260909    10:44:54       2    402     60     57     99     41      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     22      8 
 20260909    10:44:54       3    385     68     61     99     40      0      0      0      0   1215   1350      0      0  20976  20977      0      0      0      0     19      6 
 20260909    10:44:55       0    383     67     64     99     40      0      0      0      0   1215   1350      0      0  20976  20977      0      0      0      0     19      6 
 20260909    10:44:55       1    382     61     55     99     40      0      0      0      0   1215   1380      0      0  20976  20977      0      0      0      0     18      6 
 20260909    10:44:55       2    387     61     58     99     40      0      0      0      0   1215   1350      0      0  20976  20977      0      0      0      0     20      7 
 20260909    10:44:55       3    397     68     60     99     41      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     17      6 
 20260909    10:44:57       0    414     67     64     99     41      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     19      6 
 20260909    10:44:57       1    417     62     56     99     40      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     18      7 
 20260909    10:44:57       2    406     61     59     99     42      0      0      0      0   1215   1365      0      0  20976  20977      0      0      0      0     19      7 
 20260909    10:44:57       3    384     69     61     99     40      0      0      0      0   1215   1350      0      0  20976  20977      0      0      0      0     17      7 
 20260909    10:44:58       0     85     55     56      0      0      0      0      0      0   1215   1410      0      0  21464  21465      0      0      0      0      4      8 
 20260909    10:44:58       1     83     48     47      0      0      0      0      0      0   1215   1410      0      0  21464  21465      0      0      0      0     10     11 
 20260909    10:44:58       2     84     48     49      0      0      0      0      0      0   1215   1410      0      0  21464  21465      0      0      0      0      1      6 
 20260909    10:44:58       3    164     54     56      0      0      0      0      0      0   1215   1410      0      0  21464  21465      0      0      0      0      3      1 
 20260909    10:44:59       0    246     58     60     48     37      0      0      0      0   1215   1320      0      0  34084  34085      0      0      0      0     19      6 
 20260909    10:44:59       1    236     51     50     37     36      0      0      0      0   1215   1095      0      0  34274  34275      0      0      0      0     18      6 
 20260909    10:44:59       2    387     55     54      9     10      0      0      0      0   1215   1380      0      0  34210  34211      0      0      0      0     22      9 
 20260909    10:44:59       3    414     61     56     55     34      0      0      0      0   1215   1380      0      0  34274  34275      0      0      0      0     17      8 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:45:00       0    408     67     64     99     40      0      0      0      0   1215   1350      0      0  34274  34275      0      0      0      0     17      9 
 20260909    10:45:00       1    415     61     55     99     42      0      0      0      0   1215   1380      0      0  34274  34275      0      0      0      0     17      9 
 20260909    10:45:00       2    408     60     58     99     40      0      0      0      0   1215   1365      0      0  34210  34211      0      0      0      0     19     45 
 20260909    10:45:00       3    375     68     60     99     40      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     18      8 
 20260909    10:45:01       0    388     67     64     99     40      0      0      0      0   1215   1350      0      0  34274  34275      0      0      0      0     17      8 
 20260909    10:45:01       1    389     62     56     99     40      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     19      7 
 20260909    10:45:01       2    377     61     59     99     39      0      0      0      0   1215   1365      0      0  34210  34211      0      0      0      0     20      6 
 20260909    10:45:01       3    397     69     62     99     40      0      0      0      0   1215   1380      0      0  34274  34275      0      0      0      0     19      7 
 20260909    10:45:03       0    399     68     65     99     40      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     20      7 
 20260909    10:45:03       1    405     63     57     99     40      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     19      7 
 20260909    10:45:03       2    420     62     59     99     40      0      0      0      0   1215   1350      0      0  34210  34211      0      0      0      0     19      8 
 20260909    10:45:03       3    409     70     62     99     41      0      0      0      0   1215   1335      0      0  34274  34275      0      0      0      0     18      7 
 20260909    10:45:04       0    399     68     66     99     40      0      0      0      0   1215   1350      0      0  34274  34275      0      0      0      0     21      7 
 20260909    10:45:04       1    410     63     57     99     41      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     18      6 
 20260909    10:45:04       2    401     62     60     99     40      0      0      0      0   1215   1365      0      0  34210  34211      0      0      0      0     17      8 
 20260909    10:45:04       3    403     70     62     99     40      0      0      0      0   1215   1350      0      0  34274  34275      0      0      0      0     18      6 
 20260909    10:45:05       0    387     69     66     99     41      0      0      0      0   1215   1350      0      0  34274  34275      0      0      0      0     20      6 
 20260909    10:45:05       1    390     64     57     99     40      0      0      0      0   1215   1380      0      0  34274  34275      0      0      0      0     18     17 
 20260909    10:45:05       2    384     63     61     99     40      0      0      0      0   1215   1365      0      0  34210  34211      0      0      0      0     18      8 
 20260909    10:45:05       3    400     70     63     99     42      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     17      6 
 20260909    10:45:06       0    400     69     66     99     40      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     18      6 
 20260909    10:45:06       1    408     64     58     99     41      0      0      0      0   1215   1350      0      0  34274  34275      0      0      0      0     15     10 
 20260909    10:45:06       2    411     63     64     99     42      0      0      0      0   1215   1380      0      0  34210  34211      0      0      0      0     46      6 
 20260909    10:45:06       3    159     64     66     99     40      0      0      0      0   1215   1395      0      0  34274  34275      0      0      0      0     23      7 
 20260909    10:45:07       0    375     69     67     99     40      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     21      7 
 20260909    10:45:07       1    409     64     58     99     40      0      0      0      0   1215   1365      0      0  34274  34275      0      0      0      0     19      6 
