#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    11:44:04       0     52     29     30      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    11:44:04       1     53     29     29      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    11:44:04       2     53     30     31      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    11:44:04       3     51     29     29      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    11:44:05       0     52     29     30      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    11:44:05       1     54     29     28      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    11:44:05       2     53     30     31      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    11:44:05       3     51     29     29      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    11:44:06       0     52     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    11:44:06       1     53     29     28      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    11:44:06       2     53     30     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    11:44:06       3     51     29     29      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    11:44:07       0     52     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    11:44:07       1     53     29     29      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    11:44:07       2     53     30     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    11:44:07       3     51     29     29      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
