#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:56:36       0     84     55     56      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:56:36       1     81     46     46      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:56:36       2     83     49     51      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:56:36       3     85     56     57      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:56:37       0     60     53     56      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:56:37       1     80     45     45      0      0      0      0      0      0   1215    285      0      0      0      1      0      0      0      0      0      0 
 20260909    10:56:37       2     60     47     50      0      0      0      0      0      0   1215    315      0      0      0      1      0      0      0      0      0      1 
 20260909    10:56:37       3     59     54     56      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:56:38       0     60     53     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0     34 
 20260909    10:56:38       1     58     44     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:38       2     59     46     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:38       3     59     54     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     15     33 
 20260909    10:56:40       0     59     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:40       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:40       2     59     46     49      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:40       3     61     53     54      0      0      0      0      0      0   1215    780      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:41       0     59     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:41       1     58     43     44      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:56:41       2     59     45     49      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:41       3     59     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:42       0     59     51     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:42       1     58     42     43      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:42       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:42       3     59     52     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:56:43       0     59     51     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:43       1     57     42     43      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:43       2     58     45     48      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:43       3     59     52     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:56:45       0     59     50     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:45       1     57     41     42      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:45       2     58     44     47      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:56:45       3     58     51     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
