#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:27:14       0     85     57     58      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:27:14       1     82     48     47      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:27:14       2     82     47     48      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:27:14       3     81     51     50      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:27:16       0     84     57     57      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:27:16       1     59     47     47      0      0      0      0      0      0   1215    300      0      0      0      1      0      0      0      0      0      0 
 20260909    10:27:16       2     58     46     47      0      0      0      0      0      0   1215    270      0      0      0      1      0      0      0      0      0      0 
 20260909    10:27:16       3     57     50     50      0      0      0      0      0      0   1215    285      0      0      0      1      0      0      0      0      0      0 
 20260909    10:27:17       0     60     55     57      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:27:17       1     59     46     46      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0     33 
 20260909    10:27:17       2     58     44     46      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:27:17       3     57     49     49      0      0      0      0      0      0   1215    210      0      0      1      2      0      0      0      0      7     33 
 20260909    10:27:18       0     60     54     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:27:18       1     58     45     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:27:18       2     58     44     46      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:27:18       3     58     48     48      0      0      0      0      0      0   1215    720      0      0      4      4      0      0      0      0      0      0 
 20260909    10:27:19       0     60     54     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:27:19       1     58     45     45      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:27:19       2     58     43     46      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
