#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    07:22:13       0     58     25     50      0      0      0      0      0      0   1215   1095      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:13       1     58     26     25      0      0      0      0      0      0   1215   1095      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:14       0     50     24     50      0      0      0      0      0      0   1215    270      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:14       1     52     25     25      0      0      0      0      0      0   1215    300      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:15       0     50     24     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:22:15       1     52     25     24      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:16       0     50     24     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:22:16       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:17       0     50     24     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:22:17       1     52     25     24      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:18       0     50     24     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:22:18       1     52     25     24      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:19       0     50     24     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:22:19       1     52     25     24      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:20       0     50     24     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:22:20       1     52     25     24      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:22       0     50     24     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:22:22       1     52     25     24      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    07:22:23       0     50     24     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
