#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    07:38:52       0     71     32     57     22      1      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    07:38:52       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    07:38:53       0     71     31     56      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    07:38:53       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    07:38:55       0     52     30     56      0      0      0      0      0      0   1215    270      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:55       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:56       0     51     30     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:56       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:57       0     51     29     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:57       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:58       0     51     29     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:58       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:59       0     51     29     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:38:59       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:00       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:00       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:01       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      1      1 
 20260909    07:39:01       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:02       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:02       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:03       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:03       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:04       0     51     27     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:39:04       1     52     25     25      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
