#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    07:47:36       0     73     33     57     81      3      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    07:47:36       1     75     34     35      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    07:47:37       0     73     32     57      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    07:47:37       1     66     33     34      0      0      0      0      0      0   1215    330      0      0      0      1      0      0      0      0      0      0 
 20260909    07:47:38       0     52     31     56      0      0      0      0      0      0   1215    255      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:38       1     54     32     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:39       0     52     30     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:39       1     54     32     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:40       0     51     30     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:40       1     54     31     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:41       0     51     30     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:41       1     54     31     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:42       0     51     29     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:42       1     54     31     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:44       0     51     29     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:44       1     54     30     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:45       0     51     29     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:45       1     53     30     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:46       0     51     29     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:46       1     53     30     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:47       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:47       1     53     29     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:48       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:48       1     53     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:49       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:49       1     53     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    07:47:50       0     57     28     54     15      0      0      0      0      0   1215   1095      0      0   1052   1053      0      0      0      0      9     12 
 20260909    07:47:50       1     59     29     30      9      0      0      0      0      0   1215   1095      0      0   1052   1053      0      0      0      0      9     12 
 20260909    07:47:51       0     57     28     53      0      0      0      0      0      0   1215   1095      0      0   1150   1151      0      0      0      0      0      0 
 20260909    07:47:51       1     58     29     30      0      0      0      0      0      0   1215   1095      0      0   1150   1151      0      0      0      0      0      0 
 20260909    07:47:52       0     57     28     53     16      9      0      0      0      0   1215   1095      0      0  18076  18077      0      0      0      0      0      0 
 20260909    07:47:52       1     59     29     30     19     11      0      0      0      0   1215   1095      0      0  18076  18077      0      0      0      0      0      0 
 20260909    07:47:53       0     65     28     54     24      6      0      0      0      0   1215   1095      0      0  22656  22657      0      0      0      0      0      0 
 20260909    07:47:53       1     62     29     30      5      1      0      0      0      0   1215   1095      0      0  22656  22657      0      0      0      0     14      3 
 20260909    07:47:55       0    396     43     57    100     40      0      0      0      0   1215   1395      0      0  23156  23157      0      0      0      0     17      4 
 20260909    07:47:55       1    408     44     38    100     41      0      0      0      0   1215   1395      0      0  23156  23157      0      0      0      0     18      4 
