#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    08:04:20       0     71     33     57      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    08:04:20       1     75     34     34      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    08:04:22       0     67     32     57      0      0      0      0      0      0   1215    375      0      0      0      1      0      0      0      0      0      0 
 20260909    08:04:22       1     54     33     34      0      0      0      0      0      0   1215    270      0      0      0      1      0      0      0      0      0      1 
 20260909    08:04:23       0     52     31     57      0      0      0      0      0      0   1215    240      0      0      4      4      0      0      0      0      0      1 
 20260909    08:04:23       1     54     32     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      3 
 20260909    08:04:24       0     51     30     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:24       1     54     32     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:25       0     51     30     56      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:25       1     54     31     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:26       0     51     30     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:26       1     54     31     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:27       0     51     29     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:27       1     54     31     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:28       0     51     29     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:28       1     54     30     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:29       0     51     29     55      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:29       1     54     30     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:30       0     51     29     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:30       1     54     30     31      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:31       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:31       1     54     30     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:33       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:33       1     54     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:34       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:34       1     54     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:04:35       0     58     28     54     15      0      0      0      0      0   1215   1095      0      0   1052   1053      0      0      0      0      9     13 
 20260909    08:04:35       1     60     29     30     10      0      0      0      0      0   1215   1095      0      0   1052   1053      0      0      0      0     10     12 
 20260909    08:04:36       0     57     28     54      0      0      0      0      0      0   1215   1095      0      0   1134   1135      0      0      0      0      0      0 
 20260909    08:04:36       1     59     29     30      0      0      0      0      0      0   1215   1095      0      0   1134   1135      0      0      0      0      0      0 
 20260909    08:04:37       0     61     28     54      0      0      0      0      0      0   1215   1095      0      0   2718   2719      0      0      0      0    876      2 
 20260909    08:04:37       1     64     29     30     10      9      0      0      0      0   1215   1095      0      0   6158   6159      0      0      0      0     16      3 
 20260909    08:04:38       0     58     28     53      4      0      0      0      0      0   1215   1095      0      0  10090  10091      0      0      0      0      0      0 
 20260909    08:04:38       1     74     30     29      8      0      0      0      0      0   1215   1410      0      0  10090  10091      0      0      0      0      0      0 
 20260909    08:04:39       0     57     28     53      0      0      0      0      0      0   1215   1095      0      0  12706  12707      0      0      0      0     33      7 
 20260909    08:04:39       1     74     30     29      0      0      0      0      0      0   1215   1410      0      0  12746  12747      0      0      0      0     16      6 
 20260909    08:04:40       0    381     40     57     84     31      0      0      0      0   1215   1410      0      0  12872  12873      0      0      0      0      8      4 
 20260909    08:04:40       1    221     40     35     99     30      0      0      0      0   1215   1410      0      0  12998  12999      0      0      0      0     24      8 
 20260909    08:04:41       0    210     39     57     74     27      0      0      0      0   1215   1410      0      0  12872  12873      0      0      0      0     16      8 
