collective,num_gpus,size_bytes,time_us,algbw_GBs,busbw_GBs,mode
all_reduce,4,8388608,150.41,55.77,83.66,out_of_place
all_reduce,4,16777216,219.75,76.35,114.52,out_of_place
all_reduce,4,33554432,338.97,98.99,148.48,out_of_place
all_reduce,4,67108864,625.51,107.29,160.93,out_of_place
all_reduce,4,134217728,1136.44,118.1,177.16,out_of_place
all_reduce,4,268435456,2200.92,121.97,182.95,out_of_place
all_reduce,4,536870912,3780.16,142.02,213.03,out_of_place
all_reduce,4,1073741824,7322.19,146.64,219.96,out_of_place
all_gather,4,8388608,104.36,80.38,60.29,out_of_place
all_gather,4,16777216,138.94,120.75,90.56,out_of_place
all_gather,4,33554432,210.66,159.28,119.46,out_of_place
all_gather,4,67108864,364.79,183.96,137.97,out_of_place
all_gather,4,134217728,654.71,205.0,153.75,out_of_place
all_gather,4,268435456,1253.35,214.17,160.63,out_of_place
all_gather,4,536870912,2306.39,232.78,174.58,out_of_place
all_gather,4,1073741824,4350.51,246.81,185.11,out_of_place
reduce_scatter,4,8388608,98.47,85.19,63.89,out_of_place
reduce_scatter,4,16777216,130.05,129.0,96.75,out_of_place
reduce_scatter,4,33554432,195.48,171.65,128.74,out_of_place
reduce_scatter,4,67108864,347.07,193.36,145.02,out_of_place
reduce_scatter,4,134217728,610.39,219.89,164.92,out_of_place
reduce_scatter,4,268435456,1166.29,230.16,172.62,out_of_place
reduce_scatter,4,536870912,2237.31,239.96,179.97,out_of_place
reduce_scatter,4,1073741824,4030.47,266.41,199.8,out_of_place
