run_id,config,model_id,num_gpus,tp,pp,dp,micro_batch,global_batch,seq_len,mean_step_ms,median_step_ms,p95_step_ms,tokens_per_sec,tokens_per_sec_per_gpu,peak_alloc_mb,experiment_generation,gpu0_avg_util,gpu0_peak_mem_mb,gpu0_avg_power,gpu1_avg_util,gpu1_peak_mem_mb,gpu1_avg_power,gpu2_avg_util,gpu2_peak_mem_mb,gpu2_avg_power,gpu3_avg_util,gpu3_peak_mem_mb,gpu3_avg_power
orig_1gpu,orig_1GPU,original,1,1,1,1,1,64,2048,8149.415,8127.2,8323.1,16083.6,16083.6,34681.62,4gpu,90.9,24576.0,362.9,0.0,0.0,53.0,0.0,0.0,53.0,0.0,0.0,51.9
orig_dp2,orig_DP2,original,2,1,1,2,1,64,2048,4209.95,4194.8,4207.2,31133.9,15566.9,34681.6,4gpu,83.2,29491.2,336.4,84.0,27852.8,335.2,0.0,0.0,53.0,0.0,0.0,51.3
orig_dp4,orig_DP4,original,4,1,1,4,1,64,2048,2161.255,2161.85,2169.7,60646.2,15161.6,34681.6,4gpu,67.7,27443.2,283.0,66.8,26624.0,275.3,69.1,27852.8,278.8,68.7,25395.2,281.2
orig_dp2_weak,orig_DP2_weak,original,2,1,1,2,1,128,2048,8319.76,8280.8,8584.8,31508.6,15754.3,34681.62,4gpu,90.0,28672.0,362.8,90.0,27852.8,358.7,0.0,0.0,54.0,0.0,0.0,52.6
orig_dp4_weak,orig_DP4_weak,original,4,1,1,4,1,256,2048,8312.46,8290.65,8484.7,63072.5,15768.1,34681.62,4gpu,87.6,27852.8,353.9,87.1,26214.4,352.0,87.7,25804.8,352.7,87.5,29491.2,350.9
large_tp2,large_TP2,large,2,2,1,1,1,64,2048,7637.675,7587.25,7862.3,17161.2,8580.6,31342.55,4gpu,89.5,24985.6,361.7,89.3,24985.6,358.4,0.0,0.0,53.3,0.0,0.0,52.1
large_tp2dp2_strong,large_TP2DP2_strong,large,4,2,1,2,1,64,2048,3916.035,3864.05,4171.0,33470.6,8367.6,31342.54,4gpu,79.0,24166.4,326.5,79.8,28672.0,322.3,79.0,28262.4,318.7,80.5,25804.8,319.0
large_tp2dp2_weak,large_TP2DP2_weak,large,4,2,1,2,1,128,2048,7656.325,7609.15,7837.0,34238.9,8559.7,31342.55,4gpu,87.2,28262.4,353.6,88.8,27443.2,353.7,88.4,27852.8,359.8,88.3,28262.4,357.2
large_pp2,large_PP2,large,2,1,2,1,1,64,2048,6901.385,6877.2,7105.8,18992.1,9496.1,33172.09,4gpu,87.7,22528.0,350.1,88.0,19660.8,355.3,0.0,0.0,54.8,0.0,0.0,53.8
large_pp2dp2_strong,large_PP2DP2_strong,large,4,1,2,2,1,64,2048,3590.195,3560.65,3808.3,36508.3,9127.1,33172.09,4gpu,78.5,28262.4,314.5,77.4,28262.4,309.9,77.3,22118.4,316.6,77.4,22118.4,317.2
large_pp2dp2_weak,large_PP2DP2_weak,large,4,1,2,2,1,128,2048,6993.115,6954.6,7232.4,37486.0,9371.5,33172.09,4gpu,86.3,20070.4,337.7,87.3,23756.8,332.9,86.3,18432.0,347.4,85.9,23347.2,352.0
large_tp4,large_TP4,large,4,4,1,1,1,64,2048,6141.715,6163.65,6443.5,21341.3,5335.3,16396.83,4gpu,67.0,18022.4,293.6,85.1,18432.0,291.4,85.4,17612.8,282.3,85.6,18432.0,281.2
large_pp4_mbs1,large_PP4_mbs1,large,4,1,4,1,1,64,2048,3852.045,3852.4,3863.2,34026.6,8506.7,20223.33,4gpu,79.3,17203.2,305.8,77.2,14745.6,303.2,77.9,14336.0,310.6,76.3,17612.8,315.7
large_pp4_mbs2,large_PP4_mbs2,large,4,1,4,1,2,64,2048,3755.8,3759.25,3762.7,34898.6,8724.6,25873.83,4gpu,75.0,20480.0,278.5,73.8,14745.6,276.8,74.8,14745.6,266.3,73.6,17612.8,289.6
large_tp2pp2,large_TP2PP2,large,4,2,2,1,1,64,2048,4250.06,4187.85,4530.3,30840.0,7710.0,17262.22,4gpu,81.3,17203.2,303.4,80.9,16384.0,319.0,75.0,16384.0,311.9,78.8,16793.6,329.2
