collective,size_bytes,time_us,algbw_GBs,busbw_GBs
all_reduce,8388608,116.77,71.84,71.84
all_reduce,16777216,135.67,123.67,123.67
all_reduce,33554432,236.29,142.01,142.01
all_reduce,67108864,526.1,127.56,127.56
all_reduce,134217728,786.68,170.61,170.61
all_reduce,268435456,1492.55,179.85,179.85
all_reduce,536870912,2882.61,186.24,186.24
all_reduce,1073741824,5518.06,194.59,194.59
all_gather,8388608,72.18,116.21,58.11
all_gather,16777216,97.62,171.86,85.93
all_gather,33554432,164.8,203.6,101.8
all_gather,67108864,280.05,239.63,119.82
all_gather,134217728,516.86,259.68,129.84
all_gather,268435456,976.89,274.79,137.39
all_gather,536870912,1884.55,284.88,142.44
all_gather,1073741824,3561.57,301.48,150.74
reduce_scatter,8388608,66.34,126.44,63.22
reduce_scatter,16777216,86.82,193.24,96.62
reduce_scatter,33554432,145.71,230.28,115.14
reduce_scatter,67108864,248.93,269.59,134.8
reduce_scatter,134217728,461.98,290.53,145.26
reduce_scatter,268435456,868.21,309.18,154.59
reduce_scatter,536870912,1683.14,318.97,159.48
reduce_scatter,1073741824,3272.04,328.16,164.08
